date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:41:38	127/127	---MCZ	200	added ('OK')	text/plain	date:Thu,%2027%20Oct%202022%2011:11:37%20GMT	https://mosaikdesign.com/robots.txt		(from )
16:41:40	311490/311490	---MCZ	200	added ('OK')	text/html	date:Thu,%2027%20Oct%202022%2011:11:38%20GMT	https://mosaikdesign.com/	C:/Users/dell/Desktop/barath/con10/mosaikdesign.com/index.html	(from )
16:41:40	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Thu,%2027%20Oct%202022%2011:11:40%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/Users/dell/Desktop/barath/con10/www.googletagmanager.com/gtm.05445.delayed	(from https://mosaikdesign.com/)
16:41:42	21598/21598	---MCZ	200	added ('OK')	text/css	etag:W/%22634e01ab-545e%22	https://mosaikdesign.com/wp-content/plugins/instagram-feed/css/sbi-styles.min.css	C:/Users/dell/Desktop/barath/con10/mosaikdesign.com/wp-content/plugins/instagram-feed/css/sbi-styles.min.css	(from https://mosaikdesign.com/)
16:41:43	45718/45718	---MCZ	200	added ('OK')	text/css	etag:W/%22597b70b2ce6b1483f72526c906918fe9%22	http://use.fontawesome.com/releases/v5.1.1/css/all.css	C:/Users/dell/Desktop/barath/con10/use.fontawesome.com/releases/v5.1.1/css/all.css	(from https://mosaikdesign.com/)
16:41:43	94736/94736	---MC-	200	added ('OK')	application/rss+xml	etag:%22ea0b8a18d6fc84701a0fbf7c9f70fbc0%22	https://mosaikdesign.com/feed/	C:/Users/dell/Desktop/barath/con10/mosaikdesign.com/feed/index.html	(from https://mosaikdesign.com/)
16:41:44	9427/9427	---M--	200	added ('OK')	image/gif	etag:%2262fbea86-24d3%22	https://mosaikdesign.com/wp-content/themes/Divi/includes/builder/styles/images/preloader.gif	C:/Users/dell/Desktop/barath/con10/mosaikdesign.com/wp-content/themes/Divi/includes/builder/styles/images/preloader.gif	(from https://mosaikdesign.com/)
16:41:48	92564/92564	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2216994-5e6606f54ce0c%22	http://mosaikdesign.com/wp-content/themes/Divi/core/admin/fonts/modules/all/modules.eot	C:/Users/dell/Desktop/barath/con10/mosaikdesign.com/wp-content/themes/Divi/core/admin/fonts/modules/all/modules.eot	(from https://mosaikdesign.com/)
16:41:48	5954/5954	---MCZ	200	added ('OK')	text/css	etag:W/%22635199de-1742%22	https://mosaikdesign.com/wp-content/et-cache/5/et-divi-dynamic-5-late.css	C:/Users/dell/Desktop/barath/con10/mosaikdesign.com/wp-content/et-cache/5/et-divi-dynamic-5-late.css	(from https://mosaikdesign.com/)
16:41:48	72564/72564	---MCZ	200	added ('OK')	text/css	etag:W/%22635199d5-11b74%22	https://mosaikdesign.com/wp-content/et-cache/5/et-divi-dynamic-5.css	C:/Users/dell/Desktop/barath/con10/mosaikdesign.com/wp-content/et-cache/5/et-divi-dynamic-5.css	(from https://mosaikdesign.com/)
